id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp;metastation_id
8591311;;ch:1:sloid:91311;Zürich, Rautistrasse;;;;;;8.484091;47.383349;0;EPSG:4326;2678944;1248583;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903989;294
8591312;;ch:1:sloid:91312;Zürich, Rebbergsteig;;;;;;8.514972;47.396900;0;EPSG:4326;2681255;1250121;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903994;295
8591314;;ch:1:sloid:91314;Zürich, Regensbergbrücke;;;;;;8.539275;47.408823;0;EPSG:4326;2683071;1251472;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903999;296
8591315;;ch:1:sloid:91315;Zürich, Rehalp;;ZREH;;;;8.582979;47.351027;0;EPSG:4326;2686463;1245094;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904003;297
8591316;;ch:1:sloid:91316;Zürich, Rennweg;;;;;;8.538457;47.373066;0;EPSG:4326;2683065;1247496;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904009;298
8591317;;ch:1:sloid:91317;Zürich, Rentenanstalt;;;;;;8.535041;47.363384;0;EPSG:4326;2682822;1246416;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904013;299
8591318;;ch:1:sloid:91318;Zürich, Riedbach;;;;;;8.558183;47.414479;0;EPSG:4326;2684489;1252121;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904017;300
8591319;;ch:1:sloid:91319;Zürich, Riedgraben;;;;;;8.558834;47.410802;0;EPSG:4326;2684544;1251713;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904021;301
8591320;;ch:1:sloid:91320;Zürich, Riedhofstrasse;;;;;;8.479578;47.409925;0;EPSG:4326;2678564;1251533;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904026;302
8591322;;ch:1:sloid:91322;Zürich, Röntgenstrasse;;;;;;8.529264;47.381933;0;EPSG:4326;2682357;1248472;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904030;303
