id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp
;;;"Voissant;45.485504; VERCHERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.872997
;;;"VALSERHONE-BELLEGARDE;46.115830; ARRET VALSE'O";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873062
;;;"VALSERHONE-BELLEGARDE;46.114174; ARRET CORNEILLE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873125
;;;"VALSERHONE-BELLEGARDE;46.112420; RUE MOLIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873128
;;;"VOUVRAY;46.111877; ECOLE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873157
;;;"VOUVRAY;46.114803; PLACE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873160
;;;"CHATILLON EN MICHAILLE;46.112316; GENDARMERIE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873163
;;;"VALSERHONE-BELLEGARDE;46.116432; ARRET FLORALIES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873167
;;;"VALSERHONE-BELLEGARDE;46.117970; ARRET COLIBRIS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873170
;;;"VALSERHONE-BELLEGARDE;46.119570; ARRET CREDO";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873173
;;;"VALSERHONE-BELLEGARDE;46.114517; ARRET ST EXUPERY";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873177
;;;"VALSERHONE-BELLEGARDE;46.110905; ARRET QUARTIER BEAUSEJOUR";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873180
;;;"VALSERHONE-BELLEGARDE;46.110690; ARRET DES LILAS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873183
;;;"VALSERHONE-BELLEGARDE;46.110798; GARE SNCF";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873187
;;;"VALSERHONE-BELLEGARDE;46.107500; COLLEGE LOUIS DUMONT";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873190
;;;"VALSERHONE-BELLEGARDE;46.105970; ARRET PARC DE SAVOIE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873193
;;;"VALSERHONE-BELLEGARDE;46.116093; CLINIQUE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873196
;;;"VALSERHONE-BELLEGARDE;46.116200; ARRET ST EXUPERY/R";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.873200
